cliente,categoria,monto_total
067111,CAMP,35998
067111,OPTI,23580
067111,PESC,23982
067111,PESP,140908
067111,PESR,53990
067111,TIRO,10320
067126,CAMP,19524
067126,INDU,12688
067126,OPTI,14297
067126,PESR,5994
067197,CAMP,614
067197,INDU,3372
067197,PESP,4709
067207,CAMP,14688
067214,CAMP,17826
067214,INDU,5409
067218,CAMP,9401
067218,PESC,22936
067218,PESP,4196
067218,PESR,16251
067220,OPTI,18427
067228,PESC,3282
067228,PESR,2198
067235,CAMP,3126
067235,INDU,535
067235,INST,918
067235,PESC,9351
067235,PESP,2064
067235,PESR,12187
067235,TIRO,154
067236,INST,388
067236,OPTI,22852
067248,CAMP,25328
067258,CAMP,107105
067258,INDP,18962
067258,INDU,1128
067258,OPTI,9066
067258,PESP,8001
067258,TIRO,2400
067261,CAMP,335936
067261,CUCH,1654
067261,INDP,9445
067261,INDU,19672
067261,OPTI,12941
067261,PESC,57035
067261,PESP,6390
067261,PESR,37242
067261,TIRO,3680
067263,CAMP,3122
067263,INDP,19200
067263,INDU,6875
067278,OPTI,17867
067286,CAMP,25152
067286,INDP,6732
067286,TIRO,8560
067287,CAMP,1408
067287,INDU,6744
067297,OPTI,3292
067297,PESC,6736
067297,PESP,2280
067297,PESR,7185
067305,PESC,4338
067305,PESP,3556
067313,CAMP,3462
067313,OPTI,5844
067314,PESC,1060
067314,PESP,22817
067314,PESR,6831
067330,INST,446
067330,OPTI,6799
067330,TIRO,5008
067340,CAMP,29898
067340,INDP,960
067340,TIRO,645
067344,CAMP,93405
067344,OPTI,219656
067348,CAMP,268
067348,INDU,2429
067348,PESC,3237
067348,PESP,8934
067348,PESR,862
067353,CAMP,11058
067353,INDP,576
067353,INDU,684
067353,OPTI,2206
067353,PESC,1683
067353,PESP,5879
067353,PESR,7260
067353,TIRO,586
067372,CAMP,13745
067372,INDU,4514
067372,OPTI,4069
067372,PESC,4241
067372,PESP,6817
067372,PESR,4814
067373,CAMP,33623
067373,INDU,3012
067379,CAMP,26705
067379,CUCH,124
067379,INDU,4550
067379,PESC,227018
067379,PESP,47244
067379,PESR,120885
067401,CAMP,14350
067401,INDP,7680
067401,PESC,51255
067401,PESP,69100
067401,PESR,10744
067408,CAMP,6257
067408,INDP,988
067408,PESC,10690
067408,PESP,224
067408,PESR,9819
067416,PESC,4527
067416,PESP,26760
067416,PESR,9678
067422,OPTI,144863
067423,CAMP,21605
067423,INDU,6602
067444,OPTI,2946
067456,CAMP,566
067456,INDP,1189
067456,OPTI,566
067456,PESP,996
067456,PESR,684
067458,CAMP,54910
067458,PESC,3375
067473,CAMP,2974
067473,CUCH,639
067473,INDU,4512
067473,PESP,1596
067485,CAMP,2807
