cliente,monto_por_categoria
67111,CAMP_mucho
67111,OPTI_mucho
67111,PESC_mucho
67111,PESP_mucho
67111,PESR_mucho
67111,TIRO_medio
67126,CAMP_mucho
67126,INDU_medio
67126,OPTI_mucho
67126,PESR_medio
67197,CAMP_poco
67197,INDU_poco
67197,PESP_medio
67207,CAMP_mucho
67214,CAMP_mucho
67214,INDU_medio
67218,CAMP_medio
67218,PESC_mucho
67218,PESP_medio
67218,PESR_mucho
67220,OPTI_mucho
67228,PESC_poco
67228,PESR_poco
67235,CAMP_poco
67235,INDU_poco
67235,INST_poco
67235,PESC_medio
67235,PESP_poco
67235,PESR_medio
67235,TIRO_poco
67236,INST_poco
67236,OPTI_mucho
67248,CAMP_mucho
67258,CAMP_mucho
67258,INDP_mucho
67258,INDU_poco
67258,OPTI_medio
67258,PESP_medio
67258,TIRO_poco
67261,CAMP_mucho
67261,CUCH_poco
67261,INDP_medio
67261,INDU_mucho
67261,OPTI_medio
67261,PESC_mucho
67261,PESP_medio
67261,PESR_mucho
67261,TIRO_medio
67263,CAMP_poco
67263,INDP_mucho
67263,INDU_medio
67278,OPTI_mucho
67286,CAMP_mucho
67286,INDP_medio
67286,TIRO_medio
67287,CAMP_poco
67287,INDU_medio
67297,OPTI_poco
67297,PESC_medio
67297,PESP_poco
67297,PESR_medio
67305,PESC_medio
67305,PESP_poco
67313,CAMP_poco
67313,OPTI_medio
67314,PESC_poco
67314,PESP_mucho
67314,PESR_medio
67330,INST_poco
67330,OPTI_medio
67330,TIRO_medio
67340,CAMP_mucho
67340,INDP_poco
67340,TIRO_poco
67344,CAMP_mucho
67344,OPTI_mucho
67348,CAMP_poco
67348,INDU_poco
67348,PESC_poco
67348,PESP_medio
67348,PESR_poco
67353,CAMP_medio
67353,INDP_poco
67353,INDU_poco
67353,OPTI_poco
67353,PESC_poco
67353,PESP_medio
67353,PESR_medio
67353,TIRO_poco
67372,CAMP_mucho
67372,INDU_medio
67372,OPTI_medio
67372,PESC_medio
67372,PESP_medio
67372,PESR_medio
67373,CAMP_mucho
67373,INDU_poco
67379,CAMP_mucho
67379,CUCH_poco
67379,INDU_medio
67379,PESC_mucho
67379,PESP_mucho
67379,PESR_mucho
67401,CAMP_mucho
67401,INDP_medio
67401,PESC_mucho
67401,PESP_mucho
67401,PESR_medio
67408,CAMP_medio
67408,INDP_poco
67408,PESC_medio
67408,PESP_poco
67408,PESR_medio
67416,PESC_medio
67416,PESP_mucho
67416,PESR_medio
67422,OPTI_mucho
67423,CAMP_mucho
67423,INDU_medio
67444,OPTI_poco
67456,CAMP_poco
67456,INDP_poco
67456,OPTI_poco
67456,PESP_poco
67456,PESR_poco
67458,CAMP_mucho
67458,PESC_poco
67473,CAMP_poco
67473,CUCH_poco
67473,INDU_medio
67473,PESP_poco
67485,CAMP_poco
67485,CUCH_poco
67485,OPTI_poco
67487,CAMP_mucho
67487,PESP_poco
67489,PESP_mucho
67501,CAMP_medio
67503,INDP_poco
67503,PESR_poco
67516,CAMP_mucho
67516,OPTI_medio
67516,PESC_mucho
67516,PESP_mucho
67516,PESR_mucho
67543,CAMP_poco
67543,CUCH_poco
67543,PESP_medio
67543,TIRO_poco
67564,OPTI_mucho
67573,CAMP_mucho
67573,CUCH_medio
67573,INDU_medio
67573,OPTI_poco
67573,PESC_medio
67573,PESP_mucho
67573,PESR_poco
67573,TIRO_poco
67587,CAMP_mucho
67587,CUCH_poco
67587,INDU_mucho
67587,OPTI_poco
67587,PESC_medio
67587,TIRO_poco
67603,CAMP_mucho
67603,INDP_medio
67603,INDU_mucho
67603,OPTI_poco
67603,PESC_mucho
67603,PESP_mucho
67603,PESR_mucho
67603,TIRO_medio
67612,CAMP_mucho
67612,OPTI_poco
67612,PESC_medio
67612,PESP_mucho
67612,PESR_medio
67612,TIRO_medio
67626,CAMP_poco
67626,INST_poco
67626,OPTI_poco
67639,CAMP_mucho
67639,OPTI_poco
67639,TIRO_poco
67640,CAMP_mucho
67640,INDP_medio
67644,PESC_mucho
67644,PESP_medio
67644,PESR_medio
67646,CAMP_medio
67646,INDU_mucho
67648,PESC_poco
67648,PESP_poco
67648,PESR_poco
67654,CAMP_poco
67654,INDP_poco
67654,INDU_poco
67654,PESC_medio
67654,PESP_medio
67654,PESR_poco
67656,CAMP_medio
67656,INDP_medio
67656,PESP_mucho
67656,PESR_mucho
67671,INDP_poco
67671,INDU_poco
67671,OPTI_mucho
67672,PESC_mucho
67672,PESP_medio
67672,PESR_medio
67684,CAMP_mucho
67689,PESC_poco
67689,PESP_medio
67689,PESR_poco
67713,CAMP_mucho
67714,CUCH_poco
67731,CAMP_mucho
67731,PESC_medio
67731,PESP_medio
67731,PESR_poco
67743,CAMP_mucho
67743,CUCH_poco
67743,INDU_medio
67743,INST_poco
67743,OPTI_medio
67743,PESC_poco
67743,PESP_poco
67743,PESR_poco
67743,TIRO_poco
67755,CAMP_poco
67755,PESP_poco
67755,PESR_poco
67758,CAMP_medio
67758,INDP_poco
67758,INDU_poco
67758,PESP_medio
67758,PESR_poco
67772,CAMP_mucho
67772,CUCH_poco
67772,INDP_mucho
67772,INDU_mucho
67772,INST_poco
67772,OPTI_mucho
67772,PESC_mucho
67772,PESP_mucho
67772,PESR_mucho
67772,TIRO_mucho
67774,CAMP_mucho
67783,CAMP_poco
67783,PESC_poco
67783,PESP_poco
67783,PESR_poco
67785,CAMP_medio
67785,PESC_medio
67785,PESP_medio
67785,PESR_poco
67793,OPTI_poco
67793,PESC_medio
67793,PESP_medio
67793,PESR_medio
67801,CAMP_medio
67801,INDU_medio
67804,CAMP_poco
67804,CUCH_poco
67804,OPTI_poco
67804,PESC_medio
67805,CAMP_medio
67805,CUCH_poco
67805,INDP_poco
67805,INDU_poco
67805,INST_poco
67805,OPTI_poco
67805,PESC_medio
67805,PESP_medio
67805,PESR_medio
67842,CAMP_poco
67842,PESP_poco
67842,PESR_poco
67846,CAMP_medio
67846,PESC_poco
67846,PESP_mucho
67846,PESR_poco
67849,PESC_medio
67849,PESP_mucho
67849,PESR_poco
67864,CAMP_poco
67864,OPTI_medio
67864,PESP_poco
67884,INDU_medio
67884,PESC_mucho
67884,PESP_medio
67884,PESR_mucho
67900,CAMP_poco
67900,INDU_poco
67900,PESP_mucho
67900,TIRO_poco
67928,CAMP_mucho
67928,CUCH_poco
67928,INDU_medio
67934,INDU_mucho
67944,CAMP_mucho
67944,CUCH_poco
67944,OPTI_poco
67944,PESC_medio
67944,PESP_medio
67944,PESR_medio
67945,CAMP_poco
67945,PESC_mucho
67945,PESP_medio
67945,PESR_mucho
67945,TIRO_poco
67965,CAMP_mucho
67965,INDU_mucho
67965,INST_medio
67965,OPTI_mucho
67965,PESC_mucho
67965,PESP_medio
67965,PESR_mucho
67965,TIRO_mucho
67995,OPTI_medio
68001,OPTI_mucho
68001,PESC_poco
68001,PESR_poco
