cliente,CAMPNG,PESCA.1,OPTICA.1,PESCA.CA.AS,PESCA.REELS.1,INDU,INDU.Y.PESCA,TIRO.Y.DEF,CUCHILL,INSTRU
67111,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","","","TIRO_medio","",""
67126,"CAMP_mucho","","OPTI_mucho","","PESR_medio","INDU_medio","","","",""
67197,"CAMP_poco","PESP_medio","","","","INDU_poco","","","",""
67207,"CAMP_mucho","","","","","","","","",""
67214,"CAMP_mucho","","","","","INDU_medio","","","",""
67218,"CAMP_medio","PESP_medio","","PESC_mucho","PESR_mucho","","","","",""
67220,"","","OPTI_mucho","","","","","","",""
67228,"","","","PESC_poco","PESR_poco","","","","",""
67235,"CAMP_poco","PESP_poco","","PESC_medio","PESR_medio","INDU_poco","","TIRO_poco","","INST_poco"
67236,"","","OPTI_mucho","","","","","","","INST_poco"
67248,"CAMP_mucho","","","","","","","","",""
67258,"CAMP_mucho","PESP_medio","OPTI_medio","","","INDU_poco","INDP_mucho","TIRO_poco","",""
67261,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_mucho","PESR_mucho","INDU_mucho","INDP_medio","TIRO_medio","CUCH_poco",""
67263,"CAMP_poco","","","","","INDU_medio","INDP_mucho","","",""
67278,"","","OPTI_mucho","","","","","","",""
67286,"CAMP_mucho","","","","","","INDP_medio","TIRO_medio","",""
67287,"CAMP_poco","","","","","INDU_medio","","","",""
67297,"","PESP_poco","OPTI_poco","PESC_medio","PESR_medio","","","","",""
67305,"","PESP_poco","","PESC_medio","","","","","",""
67313,"CAMP_poco","","OPTI_medio","","","","","","",""
67314,"","PESP_mucho","","PESC_poco","PESR_medio","","","","",""
67330,"","","OPTI_medio","","","","","TIRO_medio","","INST_poco"
67340,"CAMP_mucho","","","","","","INDP_poco","TIRO_poco","",""
67344,"CAMP_mucho","","OPTI_mucho","","","","","","",""
67348,"CAMP_poco","PESP_medio","","PESC_poco","PESR_poco","INDU_poco","","","",""
67353,"CAMP_medio","PESP_medio","OPTI_poco","PESC_poco","PESR_medio","INDU_poco","INDP_poco","TIRO_poco","",""
67372,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_medio","PESR_medio","INDU_medio","","","",""
67373,"CAMP_mucho","","","","","INDU_poco","","","",""
67379,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_mucho","INDU_medio","","","CUCH_poco",""
67401,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_medio","","INDP_medio","","",""
67408,"CAMP_medio","PESP_poco","","PESC_medio","PESR_medio","","INDP_poco","","",""
67416,"","PESP_mucho","","PESC_medio","PESR_medio","","","","",""
67422,"","","OPTI_mucho","","","","","","",""
67423,"CAMP_mucho","","","","","INDU_medio","","","",""
67444,"","","OPTI_poco","","","","","","",""
67456,"CAMP_poco","PESP_poco","OPTI_poco","","PESR_poco","","INDP_poco","","",""
67458,"CAMP_mucho","","","PESC_poco","","","","","",""
67473,"CAMP_poco","PESP_poco","","","","INDU_medio","","","CUCH_poco",""
67485,"CAMP_poco","","OPTI_poco","","","","","","CUCH_poco",""
67487,"CAMP_mucho","PESP_poco","","","","","","","",""
67489,"","PESP_mucho","","","","","","","",""
67501,"CAMP_medio","","","","","","","","",""
67503,"","","","","PESR_poco","","INDP_poco","","",""
67516,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","","","","",""
67543,"CAMP_poco","PESP_medio","","","","","","TIRO_poco","CUCH_poco",""
67564,"","","OPTI_mucho","","","","","","",""
67573,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_medio","PESR_poco","INDU_medio","","TIRO_poco","CUCH_medio",""
67587,"CAMP_mucho","","OPTI_poco","PESC_medio","","INDU_mucho","","TIRO_poco","CUCH_poco",""
67603,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","INDU_mucho","INDP_medio","TIRO_medio","",""
67612,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_medio","PESR_medio","","","TIRO_medio","",""
67626,"CAMP_poco","","OPTI_poco","","","","","","","INST_poco"
67639,"CAMP_mucho","","OPTI_poco","","","","","TIRO_poco","",""
67640,"CAMP_mucho","","","","","","INDP_medio","","",""
67644,"","PESP_medio","","PESC_mucho","PESR_medio","","","","",""
67646,"CAMP_medio","","","","","INDU_mucho","","","",""
67648,"","PESP_poco","","PESC_poco","PESR_poco","","","","",""
67654,"CAMP_poco","PESP_medio","","PESC_medio","PESR_poco","INDU_poco","INDP_poco","","",""
67656,"CAMP_medio","PESP_mucho","","","PESR_mucho","","INDP_medio","","",""
67671,"","","OPTI_mucho","","","INDU_poco","INDP_poco","","",""
67672,"","PESP_medio","","PESC_mucho","PESR_medio","","","","",""
67684,"CAMP_mucho","","","","","","","","",""
67689,"","PESP_medio","","PESC_poco","PESR_poco","","","","",""
67713,"CAMP_mucho","","","","","","","","",""
67714,"","","","","","","","","CUCH_poco",""
67731,"CAMP_mucho","PESP_medio","","PESC_medio","PESR_poco","","","","",""
67743,"CAMP_mucho","PESP_poco","OPTI_medio","PESC_poco","PESR_poco","INDU_medio","","TIRO_poco","CUCH_poco","INST_poco"
67755,"CAMP_poco","PESP_poco","","","PESR_poco","","","","",""
67758,"CAMP_medio","PESP_medio","","","PESR_poco","INDU_poco","INDP_poco","","",""
67772,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_mucho","CUCH_poco","INST_poco"
67774,"CAMP_mucho","","","","","","","","",""
67783,"CAMP_poco","PESP_poco","","PESC_poco","PESR_poco","","","","",""
67785,"CAMP_medio","PESP_medio","","PESC_medio","PESR_poco","","","","",""
67793,"","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","","","","",""
67801,"CAMP_medio","","","","","INDU_medio","","","",""
67804,"CAMP_poco","","OPTI_poco","PESC_medio","","","","","CUCH_poco",""
67805,"CAMP_medio","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","INDU_poco","INDP_poco","","CUCH_poco","INST_poco"
67842,"CAMP_poco","PESP_poco","","","PESR_poco","","","","",""
67846,"CAMP_medio","PESP_mucho","","PESC_poco","PESR_poco","","","","",""
67849,"","PESP_mucho","","PESC_medio","PESR_poco","","","","",""
67864,"CAMP_poco","PESP_poco","OPTI_medio","","","","","","",""
67884,"","PESP_medio","","PESC_mucho","PESR_mucho","INDU_medio","","","",""
67900,"CAMP_poco","PESP_mucho","","","","INDU_poco","","TIRO_poco","",""
67928,"CAMP_mucho","","","","","INDU_medio","","","CUCH_poco",""
67934,"","","","","","INDU_mucho","","","",""
67944,"CAMP_mucho","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","","","","CUCH_poco",""
67945,"CAMP_poco","PESP_medio","","PESC_mucho","PESR_mucho","","","TIRO_poco","",""
67965,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","","TIRO_mucho","","INST_medio"
67995,"","","OPTI_medio","","","","","","",""
68001,"","","OPTI_mucho","PESC_poco","PESR_poco","","","","",""
68010,"","PESP_medio","","PESC_poco","","","","","",""
68018,"","","OPTI_medio","","","","","","",""
68054,"CAMP_poco","","OPTI_medio","","","","","","",""
68056,"","PESP_mucho","","","","","","","",""
68067,"CAMP_medio","PESP_medio","","PESC_medio","PESR_medio","INDU_poco","","TIRO_poco","CUCH_poco",""
68078,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_medio","","","INDP_mucho","TIRO_medio","",""
68131,"CAMP_medio","","","PESC_medio","PESR_medio","","","","",""
68179,"","PESP_mucho","","","","","","TIRO_poco","",""
68183,"CAMP_poco","","OPTI_medio","","","INDU_poco","INDP_poco","","",""
68209,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_medio","CUCH_mucho",""
68235,"","PESP_medio","","PESC_poco","PESR_mucho","","","","",""
68252,"CAMP_poco","","OPTI_medio","","","","","","",""
68265,"","PESP_poco","OPTI_poco","PESC_poco","PESR_poco","","","","",""
68299,"CAMP_poco","","","","","","","","",""
68314,"","PESP_medio","","","","","","","",""
