cli_id;cat_desc;sit_iva_id;cli_prv;vta;tran;CAMPNG;PESCA.1;OPTICA.1;PESCA.CA.AS;PESCA.REELS.1;INDU;INDU.Y.PESCA;TIRO.Y.DEF;CUCHILL;INSTRU;venta:freq
67111;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_mucho;PESC_mucho;PESR_mucho;;;TIRO_medio;;;AA
67126;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;OPTI_mucho;;PESR_medio;INDU_medio;;;;;MA
67197;CAMPING;B;Mendoza;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_medio;;;;INDU_poco;;;;;BB
67207;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_mucho;;;;;;;;;;BB
67214;CAMPING;A;Córdoba;VTA_MEDIO;TRAN_BAJO;CAMP_mucho;;;;;INDU_medio;;;;;MB
67218;PESCA CAÑAS;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;PESC_mucho;PESR_mucho;;;;;;MA
67220;OPTICA;B;Santa Fe;VTA_BAJO;TRAN_BAJO;;;OPTI_mucho;;;;;;;;BB
67228;PESCA CAÑAS;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;;;PESC_poco;PESR_poco;;;;;;BB
67235;INSTRUMENTAL;A;Río Negro;VTA_MEDIO;TRAN_ALTO;CAMP_poco;PESP_poco;;PESC_medio;PESR_medio;INDU_poco;;TIRO_poco;;INST_poco;MA
67236;OPTICA;A;Santa Fe;VTA_MEDIO;TRAN_ALTO;;;OPTI_mucho;;;;;;;INST_poco;MA
67248;CAMPING;A;Mendoza;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;;;;;;;;;MA
67258;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_medio;;;INDU_poco;INDP_mucho;TIRO_poco;;;AA
