venta_id,categoria,monto_total
1,CAMP,488
1,OPTI,1057
1,PESP,710
1,PESR,681
1,TIRO,492
2,OPTI,5634
3,PESC,20242
3,PESP,64800
3,PESR,23908
4,CAMP,4776
4,PESC,3056
4,PESR,7344
5,PESP,18304
6,OPTI,3978
7,CAMP,346
7,OPTI,4156
7,PESC,19873
7,PESP,7810
7,PESR,1434
8,OPTI,4370
8,PESC,21555
8,PESP,15973
8,PESR,46730
9,CAMP,1108
9,PESP,6797
9,TIRO,129
10,PESP,67537
11,PESC,47662
11,PESR,15860
12,CAMP,1850
12,INDP,1232
12,PESC,8310
12,PESP,2472
12,PESR,35895
13,CAMP,11878
13,OPTI,8286
14,OPTI,10014
15,CAMP,60912
16,CAMP,7165
17,CAMP,37390
18,PESP,23121
19,CAMP,1350
19,PESP,1352
19,PESR,4893
20,CAMP,26238
20,OPTI,37730
21,CAMP,1904
21,PESC,18006
21,PESP,2390
21,PESR,15018
22,CAMP,8120
22,PESP,26051
22,PESR,13500
23,OPTI,960
23,PESC,9648
23,PESP,956
23,PESR,1556
24,CAMP,26190
25,CAMP,3273
25,PESP,865
25,PESR,2849
26,PESP,33188
28,OPTI,2044
28,PESC,5451
28,PESR,2049
29,OPTI,1680
30,PESC,1625
30,PESR,422
31,PESP,6012
32,INDP,2341
32,PESP,11953
34,OPTI,72
35,CAMP,5308
36,CAMP,2343
37,OPTI,966
38,OPTI,3499
39,OPTI,10069
40,OPTI,3218
41,PESR,18487
42,OPTI,7941
43,CAMP,1056
43,OPTI,3352
44,CAMP,130
44,OPTI,1602
45,CAMP,694
45,OPTI,2135
46,CAMP,27120
47,CAMP,12848
48,CAMP,5400
49,PESC,922
49,PESP,5985
50,CAMP,12834
51,PESC,13009
51,PESR,18753
52,CAMP,678
52,PESC,2996
52,PESP,20266
52,TIRO,4968
53,CAMP,5196
53,TIRO,645
54,PESC,1014
55,CAMP,1669
55,OPTI,21426
56,OPTI,15236
57,OPTI,1747
58,PESP,361
60,PESC,3342
60,PESP,7400
62,INDP,4768
62,PESC,3784
62,PESP,3270
62,PESR,1352
63,INDP,4940
64,PESC,2700
64,PESP,780
64,PESR,2160
65,PESP,7764
66,OPTI,1057
67,OPTI,244
68,CAMP,106416
69,CAMP,3076
70,CAMP,309
70,INST,182
70,OPTI,780
71,CAMP,488
71,OPTI,4796
71,PESR,1684
72,CAMP,4670
72,PESP,3980
72,TIRO,24840
73,PESP,1747
74,CAMP,576
74,OPTI,1206
75,CAMP,28702
75,CUCH,660
75,INDU,1340
75,OPTI,8782
75,PESC,9503
75,PESP,8580
75,PESR,8158
75,TIRO,3096
76,INDP,14904
77,PESP,17960
78,PESC,622
78,PESP,958
79,CAMP,0
79,PESC,5887
79,PESR,8261
80,OPTI,37029
81,INDU,1962
82,CAMP,29050
82,INDP,4376
82,INDU,1152
82,PESC,2208
82,PESP,1538
82,PESR,2619
82,TIRO,2194
83,CAMP,6622
84,CAMP,2866
85,CAMP,14809
85,CUCH,300
85,OPTI,656
86,PESC,1650
86,PESP,1848
86,PESR,4468
87,INDU,518
88,CAMP,5438
88,PESC,2887
88,PESP,912
89,PESP,21180
90,CAMP,10504
90,INDU,792
90,PESP,0
90,TIRO,7266
91,CAMP,5796
92,PESP,2290
93,PESC,10926
94,CAMP,3981
94,PESP,3928
95,CAMP,29085
96,OPTI,6622
97,OPTI,9379
97,PESC,20931
97,PESP,25475
97,PESR,21648
98,PESC,12880
98,PESP,24532
99,PESC,3998
99,PESP,1044
99,PESR,3726
100,PESP,106043
101,PESP,7183
102,CAMP,4176
102,CUCH,1092
102,PESP,15804
102,PESR,14100
102,TIRO,4800
103,INDP,4542
103,PESC,43622
103,PESR,43720
104,PESP,1775
105,OPTI,7980
106,PESC,59753
106,PESR,61735
107,CAMP,10452
107,OPTI,3292
107,PESC,2336
107,PESR,4826
108,CAMP,6449
108,CUCH,900
108,TIRO,1326
109,CAMP,7496
110,PESC,9207
110,PESR,4948
111,CAMP,10679
111,PESC,2843
111,PESP,3354
112,OPTI,1374
113,CAMP,72300
114,CAMP,8620
114,INDU,7128
114,PESP,63391
114,PESR,16314
116,PESP,6400
117,CAMP,1350
117,PESP,2150
117,TIRO,7272
118,CUCH,1496
118,INST,348
118,OPTI,3578
118,PESP,4636
119,CAMP,6862
119,PESC,7457
119,PESP,4785
119,PESR,2779
119,TIRO,5328
120,CAMP,1304
120,OPTI,3285
121,CAMP,7904
121,INDU,792
121,PESP,0
121,TIRO,6660
122,PESC,5937
122,PESR,3694
123,OPTI,41728
124,CAMP,5363
124,PESP,6508
125,OPTI,9945
126,PESC,3660
127,PESC,165893
127,PESR,64594
128,PESP,4536
129,OPTI,6570
130,CAMP,440
130,CUCH,948
130,INST,990
130,OPTI,4846
131,CUCH,384
131,PESC,18581
131,PESP,6586
131,PESR,9400
132,CAMP,43810
133,CAMP,39364
133,OPTI,36186
133,PESP,17280
133,PESR,35060
134,PESC,34515
134,PESR,138206
135,PESR,41660
136,CAMP,5878
136,PESP,12892
136,TIRO,308
137,CAMP,19142
138,CAMP,34282
139,CAMP,89064
140,CAMP,89064
141,PESC,7050
142,CAMP,1188
142,PESC,464
142,PESP,640
142,PESR,1312
143,PESC,1812
144,OPTI,432
145,CAMP,262
145,OPTI,5887
146,PESP,3335
147,INDP,5913
148,CAMP,14706
149,CAMP,4902
150,PESP,13500
151,CAMP,10587
152,OPTI,6407
153,CAMP,282
153,OPTI,5940
155,PESR,3888
156,OPTI,11422
157,PESC,23360
157,PESP,1146
157,PESR,6860
158,CAMP,12007
159,CAMP,52876
160,OPTI,2636
161,TIRO,462
163,CAMP,15824
164,CAMP,1125
164,PESP,2813
165,CAMP,4276
166,CAMP,7440
166,INST,640
167,CAMP,9752
167,INDP,9219
167,OPTI,39820
167,PESP,19314
167,TIRO,1548
168,INST,970
168,OPTI,387
169,PESC,6614
169,PESP,3069
169,PESR,2530
170,CAMP,9300
170,PESC,7152
170,PESP,15049
170,PESR,4357
171,OPTI,22863
172,OPTI,2146
173,OPTI,1647
174,CAMP,713
177,OPTI,984
178,CAMP,8484
179,PESC,22616
179,PESR,4200
180,PESC,9320
180,PESR,5590
181,INDP,18630
181,PESC,4050
181,PESP,15056
181,PESR,3405
183,OPTI,2469
184,PESP,4200
185,CAMP,17528
185,INDU,19338
185,PESP,12953
186,PESP,1502
186,PESR,5061
187,PESC,2239
187,PESP,1073
188,PESP,27480
189,PESP,1382
189,PESR,9606
190,CAMP,10746
191,CAMP,9498
192,CAMP,3360
192,INDP,2964
192,PESC,4255
192,PESR,4557
193,CAMP,3024
194,PESC,1554
194,PESP,2280
194,PESR,1423
195,PESC,1839
195,PESR,2752
196,CAMP,2058
196,CUCH,600
196,OPTI,7905
196,PESP,84
196,TIRO,4140
197,PESP,9843
198,CAMP,12682
199,CAMP,25314
203,CAMP,188
204,CAMP,3600
205,PESC,13935
205,PESR,9326
206,CAMP,33202
207,CAMP,17226
207,INDU,1728
207,TIRO,2070
208,PESP,3534
209,CAMP,11188
209,PESC,7786
209,PESP,1210
209,PESR,6101
210,INDP,19692
211,PESR,14139
212,OPTI,3494
213,PESC,1645
213,PESP,1964
213,PESR,1307
214,CAMP,371
214,OPTI,3363
215,PESC,9772
215,PESP,371
215,PESR,8154
216,CAMP,12824
217,PESP,7440
217,PESR,2140
218,PESP,430
219,CAMP,0
220,PESR,26900
221,CAMP,672
222,CAMP,343
223,INST,578
223,OPTI,1591
224,CAMP,1698
224,INST,90
224,OPTI,5656
224,TIRO,44
225,OPTI,18820
226,CAMP,15707
227,PESC,2374
227,PESP,804
227,PESR,3241
228,CAMP,7310
229,CAMP,5728
230,PESC,8545
230,PESP,11675
230,PESR,5462
231,CAMP,10096
231,CUCH,300
232,CAMP,694
233,PESP,139543
234,PESR,75028
235,INDU,42240
235,PESP,8200
236,CAMP,65
237,PESP,23080
238,CAMP,5728
239,PESP,840
240,OPTI,4404
241,CAMP,12255
242,INDP,16857
243,PESP,8112
244,PESC,3063
244,PESP,61
244,PESR,3723
245,CAMP,6925
245,PESC,760
245,PESP,840
245,PESR,3808
246,CAMP,7990
246,INDP,2188
246,PESC,1818
246,PESP,2865
246,PESR,1164
247,PESP,1428
248,CAMP,356
248,PESC,1554
248,PESP,7723
248,PESR,1029
249,CAMP,3277
250,CAMP,1052
250,INDP,993
250,PESC,4896
250,PESP,11301
251,CAMP,1298
251,PESP,6884
251,TIRO,384
254,PESC,2788
254,PESP,2515
254,PESR,6051
258,PESC,8776
258,PESR,7033
259,CAMP,1880
259,PESC,1350
259,PESP,4363
260,CAMP,10587
261,CAMP,1014
261,PESC,1794
261,PESP,3560
262,CAMP,3976
262,INDU,1456
263,PESP,5544
264,PESC,2254
264,PESR,5721
266,CAMP,11046
267,CAMP,2802
267,OPTI,480
267,PESC,7148
267,PESR,3204
268,INDU,2977
269,CAMP,900
269,PESP,7600
270,CAMP,4303
271,CAMP,1443
271,PESP,6306
272,CAMP,6554
273,CAMP,5176
273,PESC,4199
273,PESP,1588
273,PESR,1814
273,TIRO,174
274,CAMP,812
274,PESC,5387
274,PESP,2874
274,PESR,4354
275,CAMP,2320
275,CUCH,432
275,INDU,5112
275,PESP,7985
275,PESR,1048
275,TIRO,364
276,INDP,9002
277,CAMP,14202
277,INDP,11928
277,PESP,24996
278,CAMP,34524
278,INDU,2567
279,OPTI,32850
280,INDP,2802
281,OPTI,603
282,OPTI,14214
283,INDP,5339
284,PESC,5267
284,PESP,0
284,PESR,1620
285,CAMP,4370
285,PESC,31438
285,PESP,16096
285,PESR,5820
285,TIRO,9936
286,PESP,19288
287,CAMP,1512
287,CUCH,600
287,INDU,792
287,INST,64
287,PESP,9431
288,OPTI,22945
