cliente,monto_por_categoria
71167,CAMP_mucho
71167,CAMP_mucho
71752,CAMP_medio
71752,INDP_poco
71752,OPTI_medio
71752,PESC_medio
71752,PESP_medio
71752,PESR_poco
71752,TIRO_poco
67258,CAMP_mucho
70833,CAMP_mucho
69527,CAMP_medio
71764,CAMP_poco
71764,PESC_poco
71764,PESP_medio
71764,PESR_poco
71649,CAMP_mucho
67379,PESP_medio
70780,PESC_poco
70780,PESP_medio
67126,CAMP_medio
67126,INDU_medio
67126,OPTI_poco
70530,PESP_mucho
70530,TIRO_mucho
67261,CAMP_mucho
67261,INDU_medio
67261,OPTI_poco
67261,PESC_poco
67379,CAMP_mucho
71167,CAMP_mucho
71167,OPTI_mucho
71167,PESP_medio
70941,PESP_medio
71323,PESP_mucho
71372,CAMP_medio
71372,CUCH_poco
71372,PESP_poco
67758,CAMP_medio
67758,PESP_medio
71538,CAMP_medio
71538,PESP_medio
71194,CAMP_poco
71194,PESC_medio
71194,PESP_mucho
71483,CAMP_mucho
71483,CUCH_poco
71483,TIRO_poco
71099,CAMP_mucho
67965,PESC_medio
67965,PESR_medio
70530,CAMP_mucho
67965,CAMP_mucho
67965,INDU_medio
67965,OPTI_medio
67965,PESP_poco
67965,TIRO_poco
69097,CAMP_mucho
69097,INDU_medio
69097,PESP_mucho
69097,TIRO_medio
67965,OPTI_poco
70870,CAMP_poco
69713,CAMP_mucho
71282,CAMP_medio
69392,CAMP_mucho
69392,INDU_medio
69392,OPTI_poco
69392,PESP_medio
69600,CAMP_mucho
70755,PESC_mucho
70819,CAMP_mucho
70530,OPTI_medio
70530,PESC_mucho
70530,PESR_mucho
70593,INDP_medio
70593,PESC_medio
70593,PESP_mucho
70593,PESR_medio
70593,TIRO_medio
71006,CAMP_mucho
71006,INDP_mucho
71006,PESC_mucho
71006,PESP_mucho
70379,PESP_poco
71777,CAMP_mucho
68727,CAMP_medio
68727,OPTI_poco
69713,CAMP_mucho
69713,INDP_medio
69713,INDU_mucho
69713,OPTI_medio
69713,PESP_medio
70556,PESP_mucho
71006,CAMP_medio
71006,PESP_medio
68314,PESP_medio
70379,PESC_mucho
70379,PESP_mucho
70379,PESR_mucho
69713,PESC_medio
69713,PESR_medio
67842,CAMP_poco
67842,PESP_medio
67842,PESR_poco
71497,OPTI_medio
69713,CAMP_poco
69713,INDP_poco
69713,PESC_poco
69713,PESP_poco
69713,PESR_poco
71497,OPTI_poco
67416,PESP_medio
67416,PESR_poco
71649,CAMP_mucho
71430,CAMP_poco
71331,CAMP_medio
70863,INDU_medio
71728,CAMP_mucho
67772,CAMP_mucho
67772,CAMP_mucho
67111,CAMP_mucho
70833,CAMP_mucho
70833,INDU_medio
70833,OPTI_poco
70833,PESC_medio
70833,PESP_poco
67258,CAMP_mucho
67258,INDU_poco
71641,CAMP_medio
71641,INDU_poco
71641,PESP_poco
70442,CAMP_mucho
69080,TIRO_mucho
71434,INDU_medio
71434,PESP_medio
70494,CAMP_medio
70494,INDU_poco
70494,PESC_poco
70494,PESP_medio
70494,PESR_medio
70494,TIRO_poco
71025,CAMP_mucho
71025,INDP_medio
71025,INDU_medio
71025,OPTI_medio
71641,CAMP_poco
71641,PESC_medio
71641,PESP_medio
71641,PESR_medio
71641,TIRO_medio
67965,CAMP_medio
70283,CAMP_mucho
70283,INDU_mucho
70283,PESC_poco
70283,PESP_mucho
70283,PESR_medio
71641,CAMP_mucho
71641,INDP_poco
71641,INDU_poco
71641,PESC_medio
71641,PESP_medio
71641,PESR_medio
71641,TIRO_medio
71527,CAMP_poco
71527,OPTI_mucho
67656,INDP_mucho
67656,PESP_mucho
71527,CAMP_poco
71527,OPTI_medio
71241,PESC_mucho
71241,PESR_medio
67236,OPTI_mucho
67278,OPTI_medio
67344,OPTI_medio
67344,CAMP_medio
67344,OPTI_medio
67348,CAMP_poco
67348,INDU_poco
67348,PESC_medio
67348,PESP_medio
67348,PESR_poco
67379,PESC_mucho
67379,PESP_poco
67379,PESR_medio
67423,INDU_medio
67516,OPTI_medio
67516,PESC_medio
67516,PESP_medio
67516,PESR_medio
67743,CAMP_medio
67743,INDU_medio
67743,INST_poco
67743,OPTI_medio
67743,PESP_poco
67743,TIRO_poco
67772,CAMP_mucho
67785,CAMP_medio
67785,PESC_medio
67785,PESP_medio
67785,PESR_poco
67965,OPTI_mucho
68078,CAMP_mucho
68078,OPTI_mucho
68078,PESP_mucho
68078,TIRO_medio
68078,PESC_medio
68626,CAMP_mucho
68626,INDP_poco
68637,OPTI_mucho
68657,CAMP_medio
68727,CAMP_medio
69032,CAMP_mucho
69032,INDP_medio
69032,PESP_medio
69080,CAMP_medio
69080,OPTI_mucho
69277,INDU_mucho
69476,OPTI_medio
69689,OPTI_poco
69750,CAMP_mucho
69750,TIRO_medio
69799,CAMP_mucho
69799,PESP_mucho
69799,TIRO_mucho
70036,PESC_mucho
70359,CAMP_mucho
70359,CAMP_mucho
70359,CUCH_poco
70359,INDP_medio
70359,OPTI_mucho
70359,PESC_mucho
70359,PESP_mucho
70483,CAMP_mucho
70483,CAMP_mucho
70483,OPTI_medio
70530,CAMP_medio
70780,CAMP_medio
70780,INDU_poco
70780,PESC_poco
70780,PESP_poco
70780,PESR_poco
70929,OPTI_medio
71049,CAMP_mucho
71049,CUCH_poco
71049,OPTI_mucho
71049,PESP_mucho
71080,CAMP_medio
71222,OPTI_mucho
71222,CAMP_medio
71238,CAMP_poco
71238,TIRO_poco
71270,PESP_medio
71270,PESR_poco
71278,OPTI_medio
71355,OPTI_mucho
71430,CAMP_poco
71430,OPTI_poco
71434,CAMP_mucho
71538,OPTI_medio
71613,INDU_poco
71613,PESC_medio
71631,CAMP_mucho
71631,INDP_poco
71631,INDU_poco
71631,OPTI_poco
71631,PESP_mucho
71631,TIRO_poco
71631,PESC_mucho
71631,PESR_medio
71662,CAMP_mucho
71662,OPTI_medio
71662,PESC_medio
71662,PESP_poco
71662,PESR_medio
71752,CAMP_mucho
71752,INDP_poco
71752,OPTI_medio
71752,PESC_medio
71752,PESP_poco
71752,PESR_medio
71752,TIRO_medio
71771,OPTI_mucho
71771,OPTI_medio
69089,OPTI_mucho
67111,CAMP_medio
67111,PESP_mucho
67111,TIRO_medio
67258,CAMP_mucho
67258,INDP_poco
67258,CAMP_medio
67258,PESP_poco
67261,CAMP_mucho
67261,INDP_poco
67261,INDU_medio
67261,OPTI_medio
67261,PESC_poco
67261,CAMP_mucho
67261,CAMP_mucho
67344,CAMP_medio
67344,CAMP_medio
67344,OPTI_mucho
67373,CAMP_mucho
67516,CAMP_mucho
67516,PESP_medio
67640,CAMP_mucho
67640,INDP_poco
67755,CAMP_poco
67755,PESP_poco
67755,PESR_poco
67755,CAMP_poco
67772,CAMP_mucho
67772,INDP_medio
67772,INDU_mucho
67772,OPTI_mucho
67772,PESP_mucho
67772,TIRO_mucho
68067,CAMP_poco
68067,PESP_medio
68067,TIRO_poco
68209,PESR_mucho
68209,CAMP_mucho
68209,INDP_medio
68209,INDU_mucho
68209,OPTI_mucho
68209,PESP_mucho
68209,TIRO_medio
68365,CAMP_mucho
68365,INDU_medio
68365,OPTI_poco
68431,CAMP_poco
68727,INDU_poco
68828,CAMP_medio
68828,INDP_mucho
68828,INDP_mucho
68828,INDU_poco
68828,PESC_mucho
68828,PESP_mucho
68828,PESR_medio
69148,OPTI_medio
69337,PESC_medio
69337,OPTI_medio
69337,PESC_medio
69337,PESR_poco
69337,PESP_medio
69337,CAMP_poco
69868,CAMP_medio
69868,PESP_medio
69966,CAMP_medio
70161,CAMP_poco
70161,INDP_poco
70161,PESC_medio
70161,PESP_mucho
70161,PESR_medio
70178,PESP_medio
70178,PESR_medio
70279,CAMP_mucho
70279,INDP_medio
70279,PESR_medio
70279,TIRO_mucho
70294,CAMP_mucho
70294,PESC_medio
70294,PESP_medio
70294,PESR_poco
70294,TIRO_poco
70359,PESP_medio
70359,PESP_mucho
70359,PESC_mucho
70359,PESP_mucho
70359,PESC_mucho
70359,PESR_mucho
70471,CAMP_mucho
70471,INDU_poco
70483,CAMP_medio
70556,CAMP_mucho
70556,CAMP_medio
70556,INDP_mucho
70556,PESP_mucho
70579,OPTI_mucho
70579,CAMP_mucho
70579,INDU_medio
70579,OPTI_medio
70579,PESC_poco
70579,PESP_poco
70579,PESR_medio
70579,TIRO_medio
70676,CAMP_mucho
70676,INDP_poco
70676,INST_poco
70676,PESP_poco
70698,CAMP_mucho
70698,PESP_mucho
70698,CAMP_medio
70698,PESC_medio
70698,PESR_medio
70821,CAMP_mucho
70839,CAMP_mucho
70839,OPTI_poco
70839,PESC_medio
70839,PESP_medio
70839,PESR_poco
70839,CAMP_poco
71080,CAMP_mucho
71080,INDP_medio
71080,OPTI_poco
71080,PESC_mucho
71080,PESP_mucho
71080,PESR_medio
71080,CAMP_poco
71099,OPTI_poco
71099,CAMP_poco
71099,INDU_poco
71099,OPTI_medio
71099,PESR_medio
71270,INDP_mucho
71270,PESP_medio
71270,PESR_medio
71270,TIRO_poco
71291,CAMP_mucho
71291,OPTI_mucho
71331,CAMP_mucho
71401,CAMP_poco
71401,PESC_medio
71401,PESP_poco
71401,PESR_poco
71425,OPTI_medio
71425,OPTI_poco
71425,PESP_poco
71558,PESP_mucho
71567,CAMP_mucho
71567,INDU_poco
71633,CAMP_poco
