cliente,categoria,monto_total
067111,CAMP,96857
067111,INDU,17550
067111,OPTI,41425
067111,PESC,51705
067111,PESP,137145
067111,PESR,58020
067111,TIRO,2350
067126,CAMP,56206
067126,INDP,6518
067126,INDU,2541
067126,OPTI,17320
067126,PESC,10193
067126,PESP,11089
067126,PESR,5324
067146,CAMP,27120
067146,INDU,13973
067146,OPTI,12902
067152,CAMP,3383
067152,CUCH,990
067152,INDP,36386
067152,OPTI,2445
067152,PESP,23240
067152,PESR,2365
067152,TIRO,418
067171,INDP,7840
067171,PESP,17569
067172,CAMP,13974
067172,CUCH,1840
067172,INDU,3840
067172,INST,1105
067172,OPTI,29609
067207,CAMP,18000
067210,PESP,134948
067212,CAMP,4494
067212,OPTI,6268
067218,CAMP,43943
067218,INDP,12562
067218,INDU,2368
067218,OPTI,3648
067218,PESC,14993
067218,PESP,18480
067218,PESR,6201
067218,TIRO,576
067228,PESC,8264
067228,PESR,6892
067235,INDU,400
067235,OPTI,600
067235,PESP,490
067235,PESR,1073
067236,INST,429
067236,OPTI,71289
067244,CAMP,2024
067244,INDU,12065
067258,CAMP,146807
067258,CUCH,1404
067258,INDP,18443
067258,INDU,6794
067258,OPTI,11139
067258,PESC,2565
067258,PESP,8339
067258,PESR,3176
067258,TIRO,26742
067261,CAMP,739502
067261,INDP,39580
067261,INDU,28848
067261,OPTI,23750
067261,PESC,25869
067261,PESP,10355
067261,PESR,18460
067261,TIRO,2534
067265,PESC,9072
067265,PESP,6240
067265,PESR,5016
067269,CAMP,20900
067269,OPTI,3721
067269,PESC,1188
067269,PESP,10780
067269,TIRO,3514
067274,CAMP,744
067274,PESC,14041
067274,PESP,5591
067274,PESR,10795
067274,TIRO,666
067275,CAMP,264180
067275,CUCH,8163
067275,INDP,189529
067275,INDU,48618
067275,INST,1771
067275,OPTI,134030
067275,PESC,283379
067275,PESP,67957
067275,PESR,150190
067278,OPTI,44980
067285,CAMP,58348
067286,CAMP,22916
067286,TIRO,10650
067297,OPTI,6572
067297,PESC,9290
067297,PESP,708
067297,PESR,12420
067313,CAMP,6158
067313,INST,250
067313,OPTI,15210
067313,PESC,1239
067313,PESP,6816
067314,CAMP,1786
067314,CUCH,2528
067314,INDP,9065
067314,OPTI,1040
067314,PESC,7545
067314,PESP,24313
067314,PESR,9072
067318,CAMP,22200
067318,CUCH,332
067318,INDP,1401
067318,INDU,2016
067318,PESC,3140
067318,PESP,2060
067318,PESR,1416
067327,INDP,54584
067339,CAMP,3386
067339,OPTI,12901
067339,TIRO,1198
067340,CAMP,110948
067340,INDP,960
067340,INDU,792
067340,TIRO,3225
067344,CAMP,576953
067344,OPTI,598113
067348,CAMP,3865
067348,INDU,436
067348,PESC,3980
067348,PESP,29938
067348,PESR,7589
067353,CAMP,35304
067353,INDP,576
067353,OPTI,2067
067353,PESC,754
067353,PESP,17456
067353,PESR,7210
067362,CAMP,3379
067362,PESP,1250
067362,PESR,4371
067372,CAMP,19674
067372,INDU,5832
067372,OPTI,12577
067372,PESP,4826
067372,PESR,2734
067373,CAMP,45156
067373,OPTI,12903
067373,TIRO,732
067374,CAMP,284
067374,OPTI,9087
067379,CAMP,55151
067379,CUCH,4709
067379,INDP,3315
067379,INDU,16185
067379,OPTI,1161
067379,PESC,148426
067379,PESP,69514
067379,PESR,70931
067379,TIRO,3150
067383,CAMP,1606
067383,OPTI,13099
067385,CAMP,3458
067385,OPTI,14148
067398,CAMP,1814
067398,OPTI,9096
067401,CAMP,51794
067401,INDU,14142
067401,PESC,64380
067401,PESP,54392
067401,PESR,55674
067408,CAMP,6041
067408,PESC,15034
067408,PESP,3548
067408,PESR,8697
067410,CAMP,1932
067410,OPTI,9444
067416,PESC,2289
067416,PESP,65458
067416,PESR,5933
067420,CAMP,1260
067420,OPTI,2472
067422,OPTI,229878
067423,CAMP,13917
067458,CAMP,149056
067458,INDP,5840
067458,INDU,20550
067461,INDU,7200
067465,CAMP,408
067465,INST,627
067465,OPTI,22007
067473,CAMP,1496
067473,INDU,2376
067473,PESP,966
067477,CAMP,11157
067477,INDU,9324
067478,CAMP,7455
067478,INDP,1839
067478,INDU,940
067478,PESP,3493
067485,CAMP,4054
067485,INDU,1750
067485,INST,1939
067485,OPTI,4598
067487,CAMP,148634
067487,INDU,15943
067487,OPTI,3160
067489,CAMP,8671
067489,CUCH,2092
067489,INDU,4316
067489,PESP,23806
067494,CAMP,5400
067494,INDU,2148
067494,PESP,145
067501,CAMP,7189
067501,INDU,1134
067502,CAMP,14480
067502,INDU,3900
067502,PESP,3600
067503,CAMP,1402
067503,INDP,8593
067503,PESC,3864
067503,PESP,1773
067503,PESR,1570
067510,CAMP,3462
067510,PESC,7505
067510,PESP,16133
067510,PESR,10054
067516,CAMP,15936
067516,INDP,13128
067516,OPTI,34335
067516,PESC,209421
067516,PESP,208663
067516,PESR,75531
067524,CAMP,1633
067524,INDU,2998
067524,PESP,3714
067530,INDU,1260
067543,CAMP,28222
067543,INDU,4773
067543,INST,1390
067543,OPTI,9072
067549,CAMP,20187
067549,TIRO,1332
067559,CAMP,42258
067563,CAMP,1552
067563,OPTI,8553
067564,OPTI,52192
067573,CAMP,115562
067573,INDP,3226
067573,INDU,30000
067573,INST,52
067573,PESC,25464
067573,PESP,82760
067573,PESR,4830
067573,TIRO,1413
067587,CAMP,18022
067601,CAMP,4602
067601,INDP,13524
067601,INST,505
067601,PESP,14940
067603,CAMP,98729
067603,INDU,5748
067603,PESP,57636
067603,TIRO,18025
067612,CAMP,181930
067612,INDU,4251
067612,PESC,7935
067612,PESP,17700
067612,PESR,5531
067612,TIRO,2070
067626,CAMP,1316
067626,INST,507
067626,OPTI,2413
067626,PESP,280
067632,CAMP,2698
067639,CAMP,18516
067639,CUCH,624
067639,OPTI,5168
067639,PESP,1968
067639,TIRO,8720
067640,CAMP,166659
067640,INDP,1920
067642,CAMP,4594
067642,CUCH,1178
067642,INDP,5339
067642,OPTI,12250
067642,PESC,1526
067642,PESP,5017
067642,PESR,1892
067644,PESC,2392
067644,PESP,3589
067644,PESR,1686
067646,CAMP,22674
067646,INDU,78453
067648,OPTI,43909
067653,CAMP,7310
067654,CAMP,871
067654,INDP,574
067654,INDU,4471
067654,OPTI,823
067654,PESC,2018
