'Prod_ID','DescGen','DescAdic','Marca','Proveedor','Cat_ID','SubCat_ID','CantEnvase'
'100LBS','ALAMBRE PARA LEADER','ALAMBRE PARA LEADER Peso: 100 Libras Medida: 50 Metros','WATERDOG','000006','PESP','196',1
'100LBS-10','ALAMBRE PARA LEADER','ALAMBRE PARA LEADER Peso: 100 Libras Medida: 10 Metros  Tubitos: 12 Unidades','WATERDOG','000006','PESP','196',20
'1095-1/0','ROBADOR','ROBADOR  Material: BRONCE  Número: 1/0','WATERDOG','000006','PESP','23',1
'1095-2/0','ROBADOR','ROBADOR  Material: BRONCE  Número: 2/0','WATERDOG','000006','PESP','23',1
'1095-3','ROBADOR','ROBADOR  Material: BRONCE  Número: 3','WATERDOG','000006','PESP','23',1
'1095-3/0','ROBADOR','ROBADOR  Material: BRONCE  Número: 3/0','WATERDOG','000006','PESP','23',1
'1095-4/0','ROBADOR','ROBADOR  Material: BRONCE  Número: 4/0','WATERDOG','000006','PESP','23',1
'1095-5','ROBADOR','ROBADOR  Material: BRONCE  Número: 5','WATERDOG','000006','PESP','23',1
'1095-5/0','ROBADOR','ROBADOR  Material: BRONCE  Número: 5/0','WATERDOG','000006','PESP','23',1
'1095-6','ROBADOR','ROBADOR  Material: BRONCE  Número: 6','WATERDOG','000000','PESP','23',1
'1095-7','ROBADOR','ROBADOR  Material: BRONCE  Número: 7','WATERDOG','000000','PESP','23',1
'1095NI-1','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 1','WATERDOG','000006','PESP','23',1
'1095NI-1/0','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 1/0','WATERDOG','000006','PESP','23',1
'1095NI-10','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 10','WATERDOG','000015','PESP','23',1
'1095NI-2','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 2','WATERDOG','000006','PESP','23',1
'1095NI-2/0','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 2/0','WATERDOG','000006','PESP','23',1
'1095NI-3','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 3','WATERDOG','000006','PESP','23',1
'1095NI-3/0','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 3/0','WATERDOG','000006','PESP','23',1
'1095NI-4','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 4','WATERDOG','000006','PESP','23',1
'1095NI-4/0','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 4/0','WATERDOG','000006','PESP','23',1
'1095NI-5','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 5','WATERDOG','000006','PESP','23',1
'1095NI-5/0','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 5/0','WATERDOG','000006','PESP','23',1
'1095NI-6','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 6','WATERDOG','000006','PESP','23',1
'1095NI-7','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 7','WATERDOG','000006','PESP','23',1
'1095NI-8','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 8','WATERDOG','000006','PESP','23',1
'1095NI-9','ROBADOR','ROBADOR  Material: NIQUEL- gruesa  Número: 9','WATERDOG','000015','PESP','23',1
'120LBS','ALAMBRE PARA LEADER','ALAMBRE PARA LEADER Peso: 120 Libras Medida: 50 Metros','WATERDOG','000006','PESP','196',1
'1210-1','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 1  Orden: B1','WATERDOG','000043','PESP','23',1
'1210-1/0','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 1/0  Orden: A9','WATERDOG','000043','PESP','23',1
'1210-10','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 10  Orden: C0','WATERDOG','000043','PESP','23',1
'1210-2','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 2  Orden: B2','WATERDOG','000043','PESP','23',1
'1210-2/0','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 2/0  Orden: A8','WATERDOG','000043','PESP','23',1
'1210-3','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 3  Orden: B3','WATERDOG','000043','PESP','23',1
'1210-4','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 4  Orden: B4','WATERDOG','000043','PESP','23',1
'1210-5','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 5  Orden: B5','WATERDOG','000043','PESP','23',1
'1210-6','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 6  Orden: B6','WATERDOG','000043','PESP','23',1
'1210-7','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 7  Orden: B7','WATERDOG','000043','PESP','23',1
'1210-8','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 8  Orden: B8','WATERDOG','000043','PESP','23',1
'1210-9','ANZUELO X MILLAR','ANZUELO X MILLAR Material: Niquelado Número: 9  Orden: B9','WATERDOG','000043','PESP','23',1
'1210NI-3','ANZUELO','ANZUELO Material: Niquelado Número: 3  Orden: B3','MARUTO','000060','PESP','23',10
