itemset_regla,support_2014,support_2015
"AA,CAMPING,OPTI_medio,CAMP_mucho",0.06,0.05
"AA,CAMPING,INDP_medio,CAMP_mucho",0.05,0.04
"AA,CAMPING,CUCH_poco,CAMP_mucho",0.06,0.08
"AA,TIRO_poco,CAMPING",0.06,0.07
"AA,TIRO_poco,CAMP_mucho",0.07,0.07
"AA,TIRO_medio,CAMP_mucho",0.05,0.07
"AA,CAMPING,INDU_medio,CAMP_mucho",0.05,0.06
"BB,CAMP_medio,CAMPING",0.05,0.03
"BB,CAMP_poco,CAMPING",0.07,0.08
"AA,PESP_medio,CAMPING",0.04,0.04
"MB,PESC_medio,PESR_medio",0.03,0.02
"AA,INST_poco,CAMPING",0.03,0.02
"AA,INDP_medio,CAMPING",0.06,0.04
"INDU_medio,MA,CAMPING",0.03,0.03
"CUCH_poco,MA,CAMPING",0.03,0.02
"MA,OPTI_medio,CAMPING",0.03,0.02
"AA,PESR_medio,CAMPING",0.04,0.05
"AA,PESP_medio,CAMPING",0.04,0.04
"AA,CAMPING,TIRO_poco,CAMP_mucho",0.06,0.06
"AA,INDP_medio,CAMP_mucho",0.07,0.06
"AA,PESR_medio,CAMP_mucho",0.05,0.06
"AA,CAMP_mucho,INDU_medio,CAMPING",0.05,0.06
"AA,OPTI_poco,CAMPING",0.03,0.05
"AA,INDU_poco,CAMP_mucho",0.05,0.04
"AA,PESR_medio,CAMP_mucho",0.05,0.06
"AA,Capital Federal,TIRO_poco,CAMPING",0.03,0.02
"AA,PESP_mucho,TIRO_medio,CAMP_mucho",0.03,0.05
"AA,INDU_mucho,TIRO_poco,CAMP_mucho",0.03,0.01
"AA,INST_poco,PESC_mucho,CAMP_mucho",0.03,0.00
